,SCHL,schoolname,nliquor,council_district,ffprox
1,101634,CHIME Middle Charter          ,5,0,NA
2,106971,Vista Middle                  ,6,6,1
3,106989,Southeast Middle              ,6,5,0
4,109884,James Jordan Middle           ,2,3,0
5,1930619,McAlister (Harold) High       ,NA,NA,NA
6,1930692,Riley (Thomas) High           ,NA,NA,NA
7,6057855,Adams (John) Middle           ,2,2,0
8,6057871,Bancroft (H.H.) Middle        ,3,4,1
9,6057889,Belvedere Middle              ,6,2,1
10,6057897,Burbank (Luther) Middle       ,4,5,0
11,6057905,Byrd (Richard E.) Middle      ,5,6,0
12,6057913,Carnegie (Andrew) Middle      ,6,7,0
13,6057921,Carver (G.W) Middle           ,8,5,1
14,6057939,Nimitz (Chester W.) Middle    ,4,5,1
15,6057947,Columbus Middle               ,3,3,1
16,6057954,Dana (Richard Henry) Midd     ,4,7,1
17,6057962,Drew (Charles) Middle         ,4,7,1
18,6057988,Emerson (Ralph Waldo) Middle  ,4,4,1
19,6057996,Fleming (Alexander) Middl     ,5,7,1
20,6058028,Gompers (Samuel) Middle       ,5,7,0
21,6058036,Griffith Middle               ,7,2,1
22,6058044,Harte (Bret) Preparatory Int. ,4,1,1
23,6058069,Holmes Middle                 ,2,3,0
24,6058077,Irving (Washington) Middl     ,3,5,1
25,6058085,King Middle                   ,2,5,0
26,6058093,Lawrence (Ernest) Middle      ,4,3,1
27,6058101,Maclay (Charles) Middle       ,4,6,1
28,6058119,Mann (Horace) Junior High     ,2,1,1
29,6058127,Marina del Rey Middle         ,1,4,0
30,6058135,Mark Twain Middle             ,2,4,0
31,6058143,Bethune Middle                ,8,7,1
32,6058150,Millikan Middle               ,1,3,0
33,6058168,Mt. Gleason Middle            ,2,6,0
34,6058176,Muir (John) Middle            ,5,1,1
35,6058184,Mulholland Middle             ,4,3,1
36,6058192,Nightingale Middle            ,1,5,1
37,6058200,Northridge Middle             ,3,3,0
38,6058218,Pacoima Middle                ,4,6,1
39,6058226,Palms Middle                  ,2,1,1
40,6058242,Porter (George K.) Middle     ,2,3,1
41,6058267,Paul Revere Middle            ,0,4,0
42,6058275,Frost (Robert) Middle         ,0,3,0
43,6058283,San Fernando Middle           ,1,6,1
44,6058291,Sepulveda Middle              ,4,6,1
45,6058309,South Gate Middle             ,2,5,1
46,6058317,Stevenson Middle              ,6,2,1
47,6058325,Sutter (John A.) Middle       ,4,4,1
48,6058333,Van Nuys Middle               ,3,3,1
49,6058341,Virgil Middle                 ,4,2,1
50,6058358,Webster (Daniel) Middle       ,3,4,1
51,6058366,White (Stephen) Middle        ,2,7,1
52,6058374,Wilmington Middle             ,1,7,1
53,6058382,Wright (Orville) Middle       ,1,4,0
54,6060479,Sellery (C. Morley) Special Ed,NA,NA,NA
55,6061394,Audubon Middle                ,2,1,1
56,6061402,Berendo Middle                ,6,2,1
57,6061410,Burroughs (John) Middle       ,1,1,0
58,6061428,Clay (Henry) Middle           ,1,7,1
59,6061436,Dodson (R.S.) Middle          ,1,7,1
60,6061444,Edison (Thomas A.) Middle     ,3,7,1
61,6061469,Gage (Henry T.) Middle        ,7,5,1
62,6061477,Hale (George Ellery) Midd     ,1,3,0
63,6061485,Henry (Patrick) Middle        ,2,3,0
64,6061501,Le Conte (Joseph) Middle      ,4,4,1
65,6061519,Madison (James) Middle        ,6,3,1
66,6061527,Markham (Edwin) Middle        ,2,7,0
67,6061535,"Johnnie Cochran, Jr., Middle  ",5,1,1
68,6061543,Nobel Middle                  ,0,1,0
69,6061550,Olive Vista Middle            ,5,6,0
70,6061568,Woodland Hills Academy        ,2,4,1
71,6061576,Peary (Robert E.) Middle      ,2,7,1
72,6061584,De Portola Middle             ,0,4,0
73,6061600,Sun Valley Middle             ,5,6,1
74,6062699,Reed (Walter) Middle          ,4,3,1
75,6066294,Curtiss Middle                ,0,7,0
76,6068431,El Sereno Middle              ,3,2,1
77,6115794,Los Angeles Academy           ,2,7,1
78,6118194,NA,NA,NA,NA
79,102756,NA,NA,NA,NA
80,109553,NA,NA,NA,NA
